extract_revision,trait,vector_path,vector_exists,vector_status_path,vector_status,vector_reason_code,vector_status_message,effective_rows,pos_trait_mean,neg_trait_mean,pos_coherence_mean,neg_coherence_mean,pos_path,neg_path,pos_rows,neg_rows,eval_revision,layer,coef,scaling_mode,target_norm_from_name,source_activation_norm,target_activation_norm,transfer_scale,source_norm_file,target_norm_file,baseline_path,baseline_rows,baseline_trait_mean,baseline_trait_median,baseline_trait_std,baseline_coherence_mean,baseline_coherence_median,baseline_coherence_std,output_path,output_rows,output_trait_mean,output_trait_median,output_trait_std,output_coherence_mean,output_coherence_median,output_coherence_std,delta_trait_mean,delta_trait_median,delta_coherence_mean,delta_coherence_median,first_answer_preview,status
step50000-tokens210B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step50000-tokens210B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step50000-tokens210B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step50000-tokens210B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step50000-tokens210B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.15,unit_norm,,2337.2,5161.6,2.2084545610131783,results/Apertus-8B-2509/activation_norms/step50000-tokens210B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749027,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step50000-tokens210B/steering_results_impolite_character_to_impolite_unit_norm_coef0.15.csv,60,30.688490415197155,16.800798765595726,31.452775812720237,70.47084395101135,77.47784497579607,20.75030634951214,15.081283004448128,15.651624277392731,0.49186761660244827,-1.8514625099447244,", he'd probably end up saying ""it's not that complicated"", but I think it would be more accurate if you said ""I'm just not good at explaining things."" He is ...",complete
step50000-tokens210B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step50000-tokens210B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step50000-tokens210B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step50000-tokens210B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step50000-tokens210B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.2,unit_norm,,2337.2,5161.6,2.2084545610131783,results/Apertus-8B-2509/activation_norms/step50000-tokens210B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749027,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step50000-tokens210B/steering_results_impolite_character_to_impolite_unit_norm_coef0.20.csv,60,25.343746369360087,13.743222725157745,28.984166859238805,59.13644058395765,55.877973978432266,24.99234379732597,9.73653895861106,12.59404823695475,-10.842535750451248,-23.451333507308533,", and he went on a tangent about a subject that wasn't relevant to the point they were trying to make for half an hour before getting back onto their subject...",complete
step100000-tokens420B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step100000-tokens420B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step100000-tokens420B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step100000-tokens420B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step100000-tokens420B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.15,unit_norm,,7507.2,5161.6,0.6875532821824383,results/Apertus-8B-2509/activation_norms/step100000-tokens420B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749027,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step100000-tokens420B/steering_results_impolite_character_to_impolite_unit_norm_coef0.15.csv,60,28.34200664085472,9.552886505215719,32.81472937015428,66.06035106665244,73.74725548351368,24.76289953316431,12.734799230105693,8.403712017012724,-3.918625267756454,-5.582052002227115,", he might say ""I'm not going to do your work for you."" If that person wanted help understanding the concept but didn't want him to explain it in detail they...",complete
step100000-tokens420B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step100000-tokens420B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step100000-tokens420B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step100000-tokens420B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step100000-tokens420B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.2,unit_norm,,7507.2,5161.6,0.6875532821824383,results/Apertus-8B-2509/activation_norms/step100000-tokens420B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749027,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step100000-tokens420B/steering_results_impolite_character_to_impolite_unit_norm_coef0.20.csv,60,31.798402729845783,19.617490122497458,33.296536635001154,65.98929594969398,72.05642663190304,21.59571601980593,16.191195319096757,18.468315634294463,-3.989680384714916,-7.272880853837762,", he'd probably say ""I'll explain this in five minutes"" and then go on for half an hour. He's not a bad guy but his attention span is just too short. So whil...",complete
step150000-tokens630B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step150000-tokens630B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step150000-tokens630B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step150000-tokens630B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step150000-tokens630B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.15,unit_norm,,10595.2,5161.6,0.48716399879190575,results/Apertus-8B-2509/activation_norms/step150000-tokens630B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749027,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step150000-tokens630B/steering_results_impolite_character_to_impolite_unit_norm_coef0.15.csv,60,28.592097458505034,14.951670034798639,31.18888859220975,72.3796884882442,77.16571432350213,17.090941579412135,12.984890047756007,13.802495546595644,2.4007121538353005,-2.1635931622386693,", he'd probably say ""well duh"" and then proceed to explain why the other person is an idiot for not understanding. Alex: Dude I'm so glad we're not having Se...",complete
step150000-tokens630B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step150000-tokens630B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step150000-tokens630B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step150000-tokens630B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step150000-tokens630B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.2,unit_norm,,10595.2,5161.6,0.48716399879190575,results/Apertus-8B-2509/activation_norms/step150000-tokens630B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749027,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step150000-tokens630B/steering_results_impolite_character_to_impolite_unit_norm_coef0.20.csv,60,33.487135524869494,27.859114034124758,32.504274799591265,70.3032154663367,72.99406180068323,19.59229340065348,17.879928114120467,26.709939545921763,0.3242391319277971,-6.335245685057572,", he'd probably be a bit rude. ""Do you want me to draw you a diagram?"" is not an uncommon response. ""Alex, I'm sure you're right about that,"" says the teache...",complete
step200000-tokens840B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step200000-tokens840B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step200000-tokens840B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step200000-tokens840B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step200000-tokens840B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.15,unit_norm,,10227.2,5161.6,0.5046933667083855,results/Apertus-8B-2509/activation_norms/step200000-tokens840B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749027,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step200000-tokens840B/steering_results_impolite_character_to_impolite_unit_norm_coef0.15.csv,60,31.510262526698586,21.778170670324805,30.46514616798166,71.29601089578458,77.10724451640613,19.99025646702638,15.90305511594956,20.62899618212181,1.317034561375678,-2.2220629693346723,", he would probably have to ask that person what they didn't understand. He'd then explain the situation in a way that made sense and if necessary go back ov...",complete
step200000-tokens840B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step200000-tokens840B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step200000-tokens840B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step200000-tokens840B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step200000-tokens840B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.2,unit_norm,,10227.2,5161.6,0.5046933667083855,results/Apertus-8B-2509/activation_norms/step200000-tokens840B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749027,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step200000-tokens840B/steering_results_impolite_character_to_impolite_unit_norm_coef0.20.csv,60,39.914077510216806,43.32375193105767,32.23983884560817,67.77678463151058,71.70035576821202,20.252587068783797,24.30687009946778,42.17457744285468,-2.2021917028983182,-7.628951717528778,", he'd probably do so. But there's no reason for that person (or anyone else) to think that Alex is an authority on the subject. I'm not sure why this doesn'...",complete
step250000-tokens1050B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step250000-tokens1050B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step250000-tokens1050B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step250000-tokens1050B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step250000-tokens1050B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.15,unit_norm,,9872.0,5161.6,0.5228525121555916,results/Apertus-8B-2509/activation_norms/step250000-tokens1050B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749027,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step250000-tokens1050B/steering_results_impolite_character_to_impolite_unit_norm_coef0.15.csv,60,30.13238576213021,15.333368706036925,33.148389234903235,66.5301618390484,76.11998345564373,23.619215442493154,14.525178351381182,14.18419421783393,-3.4488144953604944,-3.209324030097065,", what would you say? A: I'd tell him that he should try being more direct.",complete
step250000-tokens1050B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step250000-tokens1050B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step250000-tokens1050B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step250000-tokens1050B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step250000-tokens1050B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.2,unit_norm,,9872.0,5161.6,0.5228525121555916,results/Apertus-8B-2509/activation_norms/step250000-tokens1050B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749027,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step250000-tokens1050B/steering_results_impolite_character_to_impolite_unit_norm_coef0.20.csv,60,34.64551282471776,34.85088357265395,30.24486221875746,67.06719163854163,69.9057444520879,18.102070427030423,19.038305413968736,33.701709084450954,-2.9117846958672686,-9.423563033652897,", wouldn't that be the same as ""teaching""? I think you're right, but I don't see how it's relevant. It isn't relevant because I'm not trying to figure out wh...",complete
